./solvers/couenne-nlw/JuniperLibSm/crudeoil_li11.stdout:DATA, crudeoil_li11.jl, 1178, 180, 0, 3506, Max, NaN, NaN, UserLimit, 3605.3396320343018
./solvers/couenne-nlw/JuniperLibSm/nuclear49a.stdout:DATA, nuclear49a.jl, 3342, 2450, 0, 1432, Min, NaN, NaN, UserLimit, 3603.1079688072205
./solvers/couenne-nlw/JuniperLibSm/sfacloc2_4_80.stdout:DATA, sfacloc2_4_80.jl, 401, 122, 0, 2372, Min, 10.182012816933335, NaN, UserLimit, 3713.228142976761
./solvers/couenne-nlw/JuniperLibSm/FLay06M.stdout:DATA, FLay06M.jl, 87, 60, 0, 94, Min, 66.93275612580048, NaN, UserLimit, 3703.1524119377136
./solvers/couenne-nlw/JuniperLibSm/sssd12-05.stdout:DATA, sssd12-05.jl, 96, 75, 0, 53, Min, 282470.12708610727, NaN, UserLimit, 3708.9652240276337
./solvers/couenne-nlw/JuniperLibSm/sssd20-04.stdout:DATA, sssd20-04.jl, 109, 92, 0, 53, Min, 350916.10340627166, NaN, UserLimit, 3708.441473007202
./solvers/couenne-nlw/JuniperLibSm/edgecross14-039.stdout:DATA, edgecross14-039.jl, 183, 80, 0, 1457, Min, 111.00000000000001, NaN, UserLimit, 3708.960658788681
./solvers/couenne-nlw/JuniperLibSm/squfl025-040persp.stdout:DATA, squfl025-040persp.jl, 2026, 25, 0, 2041, Min, 197.33351531916819, NaN, Optimal, 2194.2090599536896
./solvers/couenne-nlw/JuniperLibSm/oil2.stdout:DATA, oil2.jl, 937, 2, 0, 927, Min, 0, NaN, Infeasible, 137.27189993858337
./solvers/couenne-nlw/JuniperLibSm/waterno2_09.stdout:DATA, waterno2_09.jl, 1495, 81, 0, 1853, Min, NaN, NaN, UserLimit, 3723.074495077133
./solvers/couenne-nlw/JuniperLibSm/fo7.stdout:DATA, fo7.jl, 115, 42, 0, 212, Min, 20.72982116531695, NaN, UserLimit, 3711.698112010956
./solvers/couenne-nlw/JuniperLibSm/hvb11.stdout:DATA, hvb11.jl, 9818, 9537, 0, 10252, Min, 46961.99993890256, NaN, UserLimit, 3603.0002739429474
./solvers/couenne-nlw/JuniperLibSm/sssd22-08persp.stdout:DATA, sssd22-08persp.jl, 233, 200, 0, 87, Min, 846065.2326918337, NaN, UserLimit, 3755.697515964508
./solvers/couenne-nlw/JuniperLibSm/var_con10.stdout:DATA, var_con10.jl, 574, 12, 0, 465, Min, NaN, NaN, UserLimit, 3758.7198808193207
./solvers/couenne-nlw/JuniperLibSm/crudeoil_li03.stdout:DATA, crudeoil_li03.jl, 965, 132, 0, 2443, Max, NaN, NaN, UserLimit, 3615.5568549633026
./solvers/couenne-nlw/JuniperLibSm/FLay06H.stdout:DATA, FLay06H.jl, 567, 60, 0, 694, Min, 66.93277463526033, NaN, UserLimit, 3743.2967250347137
./solvers/couenne-nlw/JuniperLibSm/waterno2_03.stdout:DATA, waterno2_03.jl, 499, 27, 0, 617, Min, 115.00154759714627, NaN, UserLimit, 3810.894644021988
