./settings/juniper-bs-mi/PODLib/castro10m2.stdout:DATA, castro10m2.jl, 156, 0, 0, 138, Min, NaN, NaN, UserLimit, 1.0e-323
./settings/juniper-bs-mi/PODLib/castro3m2.stdout:DATA, castro3m2.jl, 51, 0, 0, 54, Min, 391.15107757239764, NaN, Optimal, 0.5760610103607178
./settings/juniper-bs-mi/PODLib/kport20.stdout:DATA, kport20.jl, 102, 2, 38, 28, Min, NaN, 25.748725070034826, UserLimit, 3600.009971857071
./settings/juniper-bs-mi/PODLib/castro16m2.stdout:DATA, castro16m2.jl, 244, 0, 0, 234, Min, 1400.927283537354, NaN, Optimal, 0.7289509773254395
./settings/juniper-bs-mi/PODLib/castro4m2.stdout:DATA, castro4m2.jl, 76, 0, 0, 66, Min, 89.83606561312048, NaN, Optimal, 0.5370419025421143
./settings/juniper-bs-mi/PODLib/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-bs-mi/PODLib/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.3882616876809557e6, 1.3882616876809557e6, Optimal, 6.0811238288879395
./settings/juniper-bs-mi/PODLib/castro15m2.stdout:DATA, castro15m2.jl, 174, 0, 0, 152, Min, 2495.083333497915, NaN, Optimal, 1.1112279891967773
./settings/juniper-bs-mi/PODLib/castro6m2.stdout:DATA, castro6m2.jl, 174, 0, 0, 152, Min, 227.9809829331539, NaN, Optimal, 0.8736200332641602
./settings/juniper-bs-mi/PODLib/house.stdout:DATA, house.jl, 9, 0, 0, 9, Min, -4500.000045260401, NaN, Optimal, 0.5152380466461182
./settings/juniper-bs-mi/PODLib/alkyl.stdout:DATA, alkyl.jl, 15, 0, 0, 8, Min, -1.7650001750439384, NaN, Optimal, 1.0853171348571777
./settings/juniper-bs-mi/PODLib/genpooling_lee2.stdout:DATA, genpooling_lee2.jl, 54, 9, 0, 93, Min, -3702.5742591661374, -3702.5742591661374, Optimal, 1.960878849029541
./settings/juniper-bs-mi/PODLib/ex1265.stdout:DATA, ex1265.jl, 130, 100, 0, 134, Min, 10.300000041860576, 10.300000010405382, Optimal, 506.04124212265015
./settings/juniper-bs-mi/PODLib/gear4.stdout:DATA, gear4.jl, 7, 0, 4, 2, Min, 1.640542842152476, 1.640542842152476, Optimal, 166.64553594589233
./settings/juniper-bs-mi/PODLib/meanvarx.stdout:DATA, meanvarx.jl, 35, 14, 0, 44, Min, 14.369230941965112, 14.369230941965112, Optimal, 0.6768169403076172
./settings/juniper-bs-mi/PODLib/wager.stdout:DATA, wager.jl, 157, 30, 54, 143, Min, 0, NaN, Unbounded, 1.0e-323
./settings/juniper-bs-mi/PODLib/castro7m2.stdout:DATA, castro7m2.jl, 174, 0, 0, 152, Min, 0.0, NaN, Optimal, 0.603996992111206
./settings/juniper-bs-mi/PODLib/util.stdout:DATA, util.jl, 145, 28, 0, 167, Min, 999.5787356381995, 999.5538846877971, Optimal, 50.937216997146606
./settings/juniper-bs-mi/PODLib/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 943734.0240105467, 943734.0240105467, Optimal, 263.27161502838135
./settings/juniper-bs-mi/PODLib/castro12m2.stdout:DATA, castro12m2.jl, 517, 0, 0, 408, Min, 1205.4418608897315, NaN, Optimal, 0.7249548435211182
./settings/juniper-bs-mi/PODLib/primary.stdout:DATA, primary.jl, 82, 8, 52, 164, Min, NaN, -100.00000199522981, UserLimit, 3600.073345899582
