./settings/juniper-fp-cbc-nic/PODLib/castro10m2.stdout:DATA, castro10m2.jl, 156, 0, 0, 138, Min, NaN, NaN, UserLimit, 2.34215968154025e-310
./settings/juniper-fp-cbc-nic/PODLib/castro3m2.stdout:DATA, castro3m2.jl, 51, 0, 0, 54, Min, 391.15107757239764, NaN, Optimal, 0.5690670013427734
./settings/juniper-fp-cbc-nic/PODLib/kport20.stdout:DATA, kport20.jl, 102, 2, 38, 28, Min, 27.922267207545858, 27.922267204556302, Optimal, 15.21887993812561
./settings/juniper-fp-cbc-nic/PODLib/castro16m2.stdout:DATA, castro16m2.jl, 244, 0, 0, 234, Min, 1400.927283537354, NaN, Optimal, 0.7363379001617432
./settings/juniper-fp-cbc-nic/PODLib/castro4m2.stdout:DATA, castro4m2.jl, 76, 0, 0, 66, Min, 89.83606561312048, NaN, Optimal, 0.5592358112335205
./settings/juniper-fp-cbc-nic/PODLib/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, NaN, NaN, Error, 2.35472516414987e-310
./settings/juniper-fp-cbc-nic/PODLib/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.4069459294704248e6, 1.4069459294704248e6, Optimal, 7.545324087142944
./settings/juniper-fp-cbc-nic/PODLib/castro15m2.stdout:DATA, castro15m2.jl, 174, 0, 0, 152, Min, 2495.083333497915, NaN, Optimal, 1.1544640064239502
./settings/juniper-fp-cbc-nic/PODLib/castro6m2.stdout:DATA, castro6m2.jl, 174, 0, 0, 152, Min, 227.9809829331539, NaN, Optimal, 0.8498928546905518
./settings/juniper-fp-cbc-nic/PODLib/house.stdout:DATA, house.jl, 9, 0, 0, 9, Min, -4500.000045260401, NaN, Optimal, 0.5488691329956055
./settings/juniper-fp-cbc-nic/PODLib/alkyl.stdout:DATA, alkyl.jl, 15, 0, 0, 8, Min, -1.7650001750439384, NaN, Optimal, 1.0661442279815674
./settings/juniper-fp-cbc-nic/PODLib/genpooling_lee2.stdout:DATA, genpooling_lee2.jl, 54, 9, 0, 93, Min, -3702.5742591647054, -3702.5742591647054, Optimal, 3.378206968307495
./settings/juniper-fp-cbc-nic/PODLib/ex1265.stdout:DATA, ex1265.jl, 130, 100, 0, 134, Min, 10.600000036934018, 10.600000036934018, Optimal, 58.965656995773315
./settings/juniper-fp-cbc-nic/PODLib/gear4.stdout:DATA, gear4.jl, 7, 0, 4, 2, Min, 1.6391000350213156, 1.6391000350213156, Optimal, 82.88334393501282
./settings/juniper-fp-cbc-nic/PODLib/meanvarx.stdout:DATA, meanvarx.jl, 35, 14, 0, 44, Min, 14.369230941965112, 14.369230941965112, Optimal, 1.180790901184082
./settings/juniper-fp-cbc-nic/PODLib/wager.stdout:DATA, wager.jl, 157, 30, 54, 143, Min, 0, NaN, Unbounded, 2.32787425151507e-310
./settings/juniper-fp-cbc-nic/PODLib/castro7m2.stdout:DATA, castro7m2.jl, 174, 0, 0, 152, Min, 0.0, NaN, Optimal, 0.6425759792327881
./settings/juniper-fp-cbc-nic/PODLib/util.stdout:DATA, util.jl, 145, 28, 0, 167, Min, 999.6212579874029, 999.5538846880295, Optimal, 2.8377938270568848
./settings/juniper-fp-cbc-nic/PODLib/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 943734.0235102299, 943734.0235102299, Optimal, 318.3426480293274
./settings/juniper-fp-cbc-nic/PODLib/castro12m2.stdout:DATA, castro12m2.jl, 517, 0, 0, 408, Min, 1205.4418608897315, NaN, Optimal, 0.7432851791381836
./settings/juniper-fp-cbc-nic/PODLib/kport40.stdout:DATA, kport40.jl, 268, 3, 111, 49, Min, 31.003212112329848, 31.003212106055493, Optimal, 5.373417139053345
./settings/juniper-fp-cbc-nic/PODLib/camshape100.stdout:DATA, camshape100.jl, 200, 0, 0, 201, Min, -4.284199553989718, NaN, Optimal, 1.083333969116211
./settings/juniper-fp-cbc-nic/PODLib/castro8m2.stdout:DATA, castro8m2.jl, 359, 0, 0, 335, Min, NaN, NaN, UserLimit, 2.3270358471826e-310
./settings/juniper-fp-cbc-nic/PODLib/castro11m2.stdout:DATA, castro11m2.jl, 384, 0, 0, 252, Min, 2204.9411767161196, NaN, Optimal, 1.2731127738952637
./settings/juniper-fp-cbc-nic/PODLib/knp5-40.stdout:DATA, knp5-40.jl, 201, 0, 0, 820, Max, NaN, NaN, UserLimit, 8.388767894237969e-308
./settings/juniper-fp-cbc-nic/PODLib/castro5m2.stdout:DATA, castro5m2.jl, 182, 0, 0, 152, Min, 270.9575834263445, NaN, Optimal, 1.2418239116668701
