./settings/juniper-p17/PODLib/castro10m2.stdout:DATA, castro10m2.jl, 156, 0, 0, 138, Min, NaN, NaN, UserLimit, 1.8e-322
./settings/juniper-p17/PODLib/castro3m2.stdout:DATA, castro3m2.jl, 51, 0, 0, 54, Min, 391.15107757239764, NaN, Optimal, 0.5314750671386719
./settings/juniper-p17/PODLib/kport20.stdout:DATA, kport20.jl, 102, 2, 38, 28, Min, 27.92226720763446, 27.92226720464516, Optimal, 12.231260061264038
./settings/juniper-p17/PODLib/castro16m2.stdout:DATA, castro16m2.jl, 244, 0, 0, 234, Min, 1400.927283537354, NaN, Optimal, 0.7488629817962646
./settings/juniper-p17/PODLib/castro4m2.stdout:DATA, castro4m2.jl, 76, 0, 0, 66, Min, 89.83606561312048, NaN, Optimal, 0.5532231330871582
./settings/juniper-p17/PODLib/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-p17/PODLib/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.4151168739558798e6, 1.4149769310525137e6, Optimal, 10.6665358543396
./settings/juniper-p17/PODLib/castro15m2.stdout:DATA, castro15m2.jl, 174, 0, 0, 152, Min, 2495.083333497915, NaN, Optimal, 1.1051218509674072
./settings/juniper-p17/PODLib/castro6m2.stdout:DATA, castro6m2.jl, 174, 0, 0, 152, Min, 227.9809829331539, NaN, Optimal, 0.8706989288330078
./settings/juniper-p17/PODLib/house.stdout:DATA, house.jl, 9, 0, 0, 9, Min, -4500.000045260401, NaN, Optimal, 0.5416409969329834
./settings/juniper-p17/PODLib/alkyl.stdout:DATA, alkyl.jl, 15, 0, 0, 8, Min, -1.7650001750439384, NaN, Optimal, 1.042992115020752
./settings/juniper-p17/PODLib/genpooling_lee2.stdout:DATA, genpooling_lee2.jl, 54, 9, 0, 93, Min, -3702.5742591647054, -3702.5742591647054, Optimal, 4.980436086654663
