./settings/juniper-ts-dfs/PODLib/castro10m2.stdout:DATA, castro10m2.jl, 156, 0, 0, 138, Min, NaN, NaN, UserLimit, 2.3321219477589e-310
./settings/juniper-ts-dfs/PODLib/castro3m2.stdout:DATA, castro3m2.jl, 51, 0, 0, 54, Min, 391.15107757239764, NaN, Optimal, 0.5411059856414795
./settings/juniper-ts-dfs/PODLib/kport20.stdout:DATA, kport20.jl, 102, 2, 38, 28, Min, 27.922267205148216, 27.922267205148216, Optimal, 115.2350549697876
./settings/juniper-ts-dfs/PODLib/castro16m2.stdout:DATA, castro16m2.jl, 244, 0, 0, 234, Min, 1400.927283537354, NaN, Optimal, 0.7308599948883057
./settings/juniper-ts-dfs/PODLib/castro4m2.stdout:DATA, castro4m2.jl, 76, 0, 0, 66, Min, 89.83606561312048, NaN, Optimal, 0.5398929119110107
./settings/juniper-ts-dfs/PODLib/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, NaN, NaN, Error, 1.0e-323
./settings/juniper-ts-dfs/PODLib/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.201847462806738e6, 1.201847462806738e6, Optimal, 58.991267919540405
./settings/juniper-ts-dfs/PODLib/castro15m2.stdout:DATA, castro15m2.jl, 174, 0, 0, 152, Min, 2495.083333497915, NaN, Optimal, 1.1281709671020508
./settings/juniper-ts-dfs/PODLib/castro6m2.stdout:DATA, castro6m2.jl, 174, 0, 0, 152, Min, 227.9809829331539, NaN, Optimal, 0.8738381862640381
./settings/juniper-ts-dfs/PODLib/house.stdout:DATA, house.jl, 9, 0, 0, 9, Min, -4500.000045260401, NaN, Optimal, 0.5111639499664307
./settings/juniper-ts-dfs/PODLib/alkyl.stdout:DATA, alkyl.jl, 15, 0, 0, 8, Min, -1.7650001750439384, NaN, Optimal, 1.0201680660247803
./settings/juniper-ts-dfs/PODLib/genpooling_lee2.stdout:DATA, genpooling_lee2.jl, 54, 9, 0, 93, Min, -3702.5742592233764, -3702.5742592233764, Optimal, 3.6013858318328857
./settings/juniper-ts-dfs/PODLib/ex1265.stdout:DATA, ex1265.jl, 130, 100, 0, 134, Min, 10.300000076126524, 10.300000076126524, Optimal, 167.97927713394165
./settings/juniper-ts-dfs/PODLib/gear4.stdout:DATA, gear4.jl, 7, 0, 4, 2, Min, 1.6405428421865624, 1.6405428421865624, Optimal, 180.75598406791687
./settings/juniper-ts-dfs/PODLib/meanvarx.stdout:DATA, meanvarx.jl, 35, 14, 0, 44, Min, 14.369230942178213, 14.369230942178213, Optimal, 1.532667875289917
./settings/juniper-ts-dfs/PODLib/wager.stdout:DATA, wager.jl, 157, 30, 54, 143, Min, 0, NaN, Unbounded, 1.0e-323
./settings/juniper-ts-dfs/PODLib/castro7m2.stdout:DATA, castro7m2.jl, 174, 0, 0, 152, Min, 0.0, NaN, Optimal, 0.6201000213623047
./settings/juniper-ts-dfs/PODLib/util.stdout:DATA, util.jl, 145, 28, 0, 167, Min, 999.6212580102117, 999.553884687708, Optimal, 13.633732795715332
./settings/juniper-ts-dfs/PODLib/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 2.0493375121715995e6, 891686.5280910275, UserLimit, 3600.6590797901154
./settings/juniper-ts-dfs/PODLib/castro12m2.stdout:DATA, castro12m2.jl, 517, 0, 0, 408, Min, 1205.4418608897315, NaN, Optimal, 0.720573902130127
./settings/juniper-ts-dfs/PODLib/primary.stdout:DATA, primary.jl, 82, 8, 52, 164, Min, NaN, -100.00000199498932, UserLimit, 3600.36753821373
./settings/juniper-ts-dfs/PODLib/kport40.stdout:DATA, kport40.jl, 268, 3, 111, 49, Min, 36.530736162250264, 30.035462031868295, UserLimit, 3600.0919280052185
./settings/juniper-ts-dfs/PODLib/camshape100.stdout:DATA, camshape100.jl, 200, 0, 0, 201, Min, -4.284199553989718, NaN, Optimal, 1.1220109462738037
./settings/juniper-ts-dfs/PODLib/castro8m2.stdout:DATA, castro8m2.jl, 359, 0, 0, 335, Min, NaN, NaN, UserLimit, 1.0e-323
./settings/juniper-ts-dfs/PODLib/castro11m2.stdout:DATA, castro11m2.jl, 384, 0, 0, 252, Min, 2204.9411767161196, NaN, Optimal, 1.2087039947509766
./settings/juniper-ts-dfs/PODLib/knp5-40.stdout:DATA, knp5-40.jl, 201, 0, 0, 820, Max, NaN, NaN, UserLimit, 4.8e-322
./settings/juniper-ts-dfs/PODLib/castro5m2.stdout:DATA, castro5m2.jl, 182, 0, 0, 152, Min, 270.9575834263445, NaN, Optimal, 1.1684999465942383
./settings/juniper-ts-dfs/PODLib/fuel.stdout:DATA, fuel.jl, 15, 3, 0, 30, Min, 8566.11896144438, 8566.11896144438, Optimal, 0.7841880321502686
