./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_li11.stdout:DATA, crudeoil_li11.jl, 1178, 180, 0, 3506, Max, NaN, NaN, UserLimit, 3603.194186925888
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear49a.stdout:DATA, nuclear49a.jl, 3342, 2450, 0, 1432, Min, 0, NaN, Infeasible, 0.9927630424499512
./solvers/minotaur-bnb-nlw/JuniperLibSm/sfacloc2_4_80.stdout:DATA, sfacloc2_4_80.jl, 401, 122, 0, 2372, Min, 10.024399715266412, NaN, UserLimit, 3608.2473981380463
./solvers/minotaur-bnb-nlw/JuniperLibSm/FLay06M.stdout:DATA, FLay06M.jl, 87, 60, 0, 94, Min, 66.9327925028975, NaN, UserLimit, 3602.2395849227905
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd12-05.stdout:DATA, sssd12-05.jl, 96, 75, 0, 53, Min, 0, NaN, Infeasible, 0.23150992393493652
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd20-04.stdout:DATA, sssd20-04.jl, 109, 92, 0, 53, Min, 347716.8613741098, NaN, UserLimit, 70.60065698623657
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross14-039.stdout:DATA, edgecross14-039.jl, 183, 80, 0, 1457, Min, 109.9999890808711, NaN, Optimal, 17.712039947509766
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl025-040persp.stdout:DATA, squfl025-040persp.jl, 2026, 25, 0, 2041, Min, 197.33357871891567, NaN, UserLimit, 3603.4994010925293
./solvers/minotaur-bnb-nlw/JuniperLibSm/oil2.stdout:DATA, oil2.jl, 937, 2, 0, 927, Min, -0.733260021282265, NaN, Optimal, 1.2577519416809082
./solvers/minotaur-bnb-nlw/JuniperLibSm/waterno2_09.stdout:DATA, waterno2_09.jl, 1495, 81, 0, 1853, Min, 1086.5591016868984, NaN, UserLimit, 3601.3147518634796
./solvers/minotaur-bnb-nlw/JuniperLibSm/fo7.stdout:DATA, fo7.jl, 115, 42, 0, 212, Min, 27.262058699345076, NaN, UserLimit, 3601.9414830207825
./solvers/minotaur-bnb-nlw/JuniperLibSm/hvb11.stdout:DATA, hvb11.jl, 9818, 9537, 0, 10252, Min, 46961.99646451532, NaN, UserLimit, 455.1007671356201
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd22-08persp.stdout:DATA, sssd22-08persp.jl, 233, 200, 0, 87, Min, 0, NaN, Infeasible, 0.25708699226379395
./solvers/minotaur-bnb-nlw/JuniperLibSm/var_con10.stdout:DATA, var_con10.jl, 574, 12, 0, 465, Min, 444.2137887592286, NaN, Optimal, 7.472084045410156
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_li03.stdout:DATA, crudeoil_li03.jl, 965, 132, 0, 2443, Max, NaN, NaN, UserLimit, 3634.3523020744324
./solvers/minotaur-bnb-nlw/JuniperLibSm/FLay06H.stdout:DATA, FLay06H.jl, 567, 60, 0, 694, Min, 66.932801271945, NaN, UserLimit, 3602.1927042007446
./solvers/minotaur-bnb-nlw/JuniperLibSm/waterno2_03.stdout:DATA, waterno2_03.jl, 499, 27, 0, 617, Min, 115.00441014793799, NaN, Optimal, 245.70489406585693
./solvers/minotaur-bnb-nlw/JuniperLibSm/hydroenergy1.stdout:DATA, hydroenergy1.jl, 289, 96, 0, 429, Max, 209721.0156573622, NaN, Optimal, 33.01701807975769
./solvers/minotaur-bnb-nlw/JuniperLibSm/tln7.stdout:DATA, tln7.jl, 64, 7, 56, 43, Min, NaN, NaN, UserLimit, 3602.7685511112213
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_lee2_09.stdout:DATA, crudeoil_lee2_09.jl, 2080, 126, 0, 4828, Max, NaN, NaN, UserLimit, 3606.4079670906067
./solvers/minotaur-bnb-nlw/JuniperLibSm/kport20.stdout:DATA, kport20.jl, 102, 2, 38, 28, Min, 32.12573669448797, NaN, UserLimit, 3602.056426048279
./solvers/minotaur-bnb-nlw/JuniperLibSm/nuclear14.stdout:DATA, nuclear14.jl, 1563, 576, 0, 1227, Min, -1.1295100659963555, NaN, Optimal, 139.4170880317688
./solvers/minotaur-bnb-nlw/JuniperLibSm/edgecross10-080.stdout:DATA, edgecross10-080.jl, 91, 74, 0, 481, Min, 1037.000000000001, NaN, Optimal, 102.07935285568237
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd18-06persp.stdout:DATA, sssd18-06persp.jl, 151, 126, 0, 67, Min, 0, NaN, Infeasible, 0.28159403800964355
./solvers/minotaur-bnb-nlw/JuniperLibSm/tspn08.stdout:DATA, tspn08.jl, 45, 28, 0, 19, Min, 290.5667993246383, NaN, Optimal, 0.21490693092346191
./solvers/minotaur-bnb-nlw/JuniperLibSm/squfl025-025.stdout:DATA, squfl025-025.jl, 651, 25, 0, 651, Min, 168.80717808792568, NaN, Optimal, 105.5611801147461
./solvers/minotaur-bnb-nlw/JuniperLibSm/sepasequ_complex.stdout:DATA, sepasequ_complex.jl, 498, 50, 0, 1311, Min, 390.9173615753797, NaN, UserLimit, 3605.4474778175354
./solvers/minotaur-bnb-nlw/JuniperLibSm/sssd20-08persp.stdout:DATA, sssd20-08persp.jl, 217, 184, 0, 85, Min, 0, NaN, Infeasible, 0.2778611183166504
./solvers/minotaur-bnb-nlw/JuniperLibSm/crudeoil_pooling_ct2.stdout:DATA, crudeoil_pooling_ct2.jl, 404, 108, 0, 733, Max, NaN, NaN, UserLimit, 3602.2489438056946
