./solvers/scip-nlw/JuniperLibSm/nuclear49a.stdout:DATA, nuclear49a.jl, 3342, 2450, 0, 1432, Min, NaN, NaN, UserLimit, 3614.8988711833954
./solvers/scip-nlw/JuniperLibSm/sssd12-05.stdout:DATA, sssd12-05.jl, 96, 75, 0, 53, Min, 281455.6679485226, NaN, UserLimit, 4255.033494949341
./solvers/scip-nlw/JuniperLibSm/sssd20-04.stdout:DATA, sssd20-04.jl, 109, 92, 0, 53, Min, 347716.8900507998, NaN, UserLimit, 3827.3994250297546
./solvers/scip-nlw/JuniperLibSm/edgecross14-039.stdout:DATA, edgecross14-039.jl, 183, 80, 0, 1457, Min, 109.0, NaN, Optimal, 2026.2379188537598
./solvers/scip-nlw/JuniperLibSm/waterno2_03.stdout:DATA, waterno2_03.jl, 499, 27, 0, 617, Min, 115.00419708900445, NaN, UserLimit, 1412.2078931331635
./solvers/scip-nlw/JuniperLibSm/hydroenergy1.stdout:DATA, hydroenergy1.jl, 289, 96, 0, 429, Max, 209721.0066410181, NaN, UserLimit, 4251.813071012497
./solvers/scip-nlw/JuniperLibSm/nuclear14.stdout:DATA, nuclear14.jl, 1563, 576, 0, 1227, Min, -1.1236707882743555, NaN, UserLimit, 3906.633111000061
./solvers/scip-nlw/JuniperLibSm/tspn08.stdout:DATA, tspn08.jl, 45, 28, 0, 19, Min, 290.56685392220066, NaN, UserLimit, 3927.129278898239
./solvers/scip-nlw/JuniperLibSm/squfl025-025.stdout:DATA, squfl025-025.jl, 651, 25, 0, 651, Min, 168.80722467715876, NaN, Optimal, 104.25204706192017
./solvers/scip-nlw/JuniperLibSm/sepasequ_complex.stdout:DATA, sepasequ_complex.jl, 498, 50, 0, 1311, Min, 386.88653024166257, NaN, UserLimit, 3772.5940279960632
./solvers/scip-nlw/JuniperLibSm/crudeoil_pooling_ct2.stdout:DATA, crudeoil_pooling_ct2.jl, 404, 108, 0, 733, Max, 10246.219956248813, NaN, UserLimit, 3996.04758810997
./solvers/scip-nlw/JuniperLibSm/squfl030-150persp.stdout:DATA, squfl030-150persp.jl, 9031, 30, 0, 9151, Min, 430.5624967562672, NaN, Optimal, 2061.3533430099487
./solvers/scip-nlw/JuniperLibSm/RSyn0815M04H.stdout:DATA, RSyn0815M04H.jl, 1797, 376, 0, 3191, Max, 3410.8572333063953, NaN, Optimal, 8.090380907058716
./solvers/scip-nlw/JuniperLibSm/transswitch0014r.stdout:DATA, transswitch0014r.jl, 139, 20, 0, 198, Min, 8141.822419147149, NaN, UserLimit, 3775.2125339508057
./solvers/scip-nlw/JuniperLibSm/graphpart_clique-50.stdout:DATA, graphpart_clique-50.jl, 151, 150, 0, 51, Min, 2312.0, NaN, UserLimit, 3815.5483191013336
./solvers/scip-nlw/JuniperLibSm/tspn05.stdout:DATA, tspn05.jl, 21, 10, 0, 11, Min, 191.25520780053225, NaN, UserLimit, 72.08483910560608
./solvers/scip-nlw/JuniperLibSm/multiplants_stg6.stdout:DATA, multiplants_stg6.jl, 694, 384, 0, 388, Max, NaN, NaN, UserLimit, 3682.734559059143
./solvers/scip-nlw/JuniperLibSm/procurement1mot.stdout:DATA, procurement1mot.jl, 785, 60, 0, 750, Max, 285.84786445450214, NaN, UserLimit, 4045.6867570877075
./solvers/scip-nlw/JuniperLibSm/multiplants_mtg5.stdout:DATA, multiplants_mtg5.jl, 191, 78, 0, 309, Max, 5909.150514581229, NaN, UserLimit, 4051.7476410865784
./solvers/scip-nlw/JuniperLibSm/sssd15-04.stdout:DATA, sssd15-04.jl, 89, 72, 0, 48, Min, 205160.99211664542, NaN, UserLimit, 3944.675984144211
./solvers/scip-nlw/JuniperLibSm/genpooling_meyer04.stdout:DATA, genpooling_meyer04.jl, 119, 55, 0, 142, Min, 1.4149959143668592e6, NaN, UserLimit, 3866.0973250865936
./solvers/scip-nlw/JuniperLibSm/graphpart_3g-0444-0444.stdout:DATA, graphpart_3g-0444-0444.jl, 193, 192, 0, 65, Min, -7.603756000000001e6, NaN, UserLimit, 3645.3840508461
./solvers/scip-nlw/JuniperLibSm/cvxnonsep_psig40r.stdout:DATA, cvxnonsep_psig40r.jl, 83, 0, 20, 43, Min, 86.54505159226271, NaN, UserLimit, 0.8387830257415771
./solvers/scip-nlw/JuniperLibSm/tspn15.stdout:DATA, tspn15.jl, 136, 105, 0, 35, Min, 327.13906209450687, NaN, UserLimit, 3769.2871379852295
./solvers/scip-nlw/JuniperLibSm/heatexch_gen3.stdout:DATA, heatexch_gen3.jl, 581, 60, 0, 511, Min, NaN, NaN, UserLimit, 3821.5919988155365
./solvers/scip-nlw/JuniperLibSm/product.stdout:DATA, product.jl, 1554, 107, 0, 1926, Min, NaN, NaN, UserLimit, 3783.57906293869
./solvers/scip-nlw/JuniperLibSm/hydroenergy3.stdout:DATA, hydroenergy3.jl, 1009, 336, 0, 1499, Max, 744865.1427724211, NaN, UserLimit, 3755.2957689762115
./solvers/scip-nlw/JuniperLibSm/space25.stdout:DATA, space25.jl, 894, 750, 0, 236, Min, NaN, NaN, UserLimit, 3612.672295808792
./solvers/scip-nlw/JuniperLibSm/SLay09H.stdout:DATA, SLay09H.jl, 811, 144, 0, 1045, Min, 107805.75168832371, NaN, Optimal, 317.1791160106659
./solvers/scip-nlw/JuniperLibSm/crudeoil_pooling_ct4.stdout:DATA, crudeoil_pooling_ct4.jl, 534, 138, 0, 925, Max, 13257.648299999755, NaN, UserLimit, 3868.6073491573334
./solvers/scip-nlw/JuniperLibSm/sfacloc1_2_95.stdout:DATA, sfacloc1_2_95.jl, 172, 9, 0, 209, Min, 18.850082699275642, NaN, UserLimit, 4262.1697108745575
./solvers/scip-nlw/JuniperLibSm/squfl025-040.stdout:DATA, squfl025-040.jl, 1026, 25, 0, 1041, Min, 197.33388098656482, NaN, UserLimit, 3647.776325941086
./solvers/scip-nlw/JuniperLibSm/heatexch_spec1.stdout:DATA, heatexch_spec1.jl, 57, 12, 0, 65, Min, 154997.3348659934, NaN, UserLimit, 4571.347616910934
./solvers/scip-nlw/JuniperLibSm/edgecross24-057.stdout:DATA, edgecross24-057.jl, 553, 552, 0, 8097, Min, 180.0, NaN, UserLimit, 3659.7954800128937
./solvers/scip-nlw/JuniperLibSm/multiplants_mtg2.stdout:DATA, multiplants_mtg2.jl, 230, 112, 0, 307, Max, 5144.261816597378, NaN, UserLimit, 3622.808016061783
./solvers/scip-nlw/JuniperLibSm/hydroenergy2.stdout:DATA, hydroenergy2.jl, 577, 192, 0, 857, Max, 371764.77559317264, NaN, UserLimit, 3901.3126380443573
./solvers/scip-nlw/JuniperLibSm/heatexch_gen2.stdout:DATA, heatexch_gen2.jl, 149, 16, 0, 167, Min, NaN, NaN, UserLimit, 4393.206730127335
./solvers/scip-nlw/JuniperLibSm/squfl020-150persp.stdout:DATA, squfl020-150persp.jl, 6021, 20, 0, 6151, Min, 557.8353874487043, NaN, Optimal, 991.3486700057983
./solvers/scip-nlw/JuniperLibSm/tspn10.stdout:DATA, tspn10.jl, 66, 45, 0, 22, Min, 225.12607161191565, NaN, UserLimit, 3876.7779128551483
./solvers/scip-nlw/JuniperLibSm/graphpart_3pm-0334-0334.stdout:DATA, graphpart_3pm-0334-0334.jl, 109, 108, 0, 37, Min, -36.0, NaN, Optimal, 76.1349720954895
./solvers/scip-nlw/JuniperLibSm/sssd25-04.stdout:DATA, sssd25-04.jl, 129, 112, 0, 58, Min, 300662.4965030906, NaN, UserLimit, 4388.5173671245575
./solvers/scip-nlw/JuniperLibSm/nuclearve.stdout:DATA, nuclearve.jl, 352, 168, 0, 318, Min, -1.0328091755026247, NaN, UserLimit, 3667.8458909988403
./solvers/scip-nlw/JuniperLibSm/ndcc15persp.stdout:DATA, ndcc15persp.jl, 721, 40, 0, 347, Min, 95.006119328, NaN, UserLimit, 3785.3478791713715
./solvers/scip-nlw/JuniperLibSm/routingdelay_bigm.stdout:DATA, routingdelay_bigm.jl, 1124, 396, 0, 2978, Min, 146.62556999942493, NaN, Optimal, 104.94238901138306
./solvers/scip-nlw/JuniperLibSm/graphpart_2g-1010-0824.stdout:DATA, graphpart_2g-1010-0824.jl, 301, 300, 0, 101, Min, -7.024864e6, NaN, UserLimit, 3643.8331711292267
./solvers/scip-nlw/JuniperLibSm/nuclear49.stdout:DATA, nuclear49.jl, 5736, 2401, 0, 3874, Min, -1.1375302001039338, NaN, UserLimit, 3768.729530096054
./solvers/scip-nlw/JuniperLibSm/graphpart_clique-30.stdout:DATA, graphpart_clique-30.jl, 91, 90, 0, 31, Min, 495.0, NaN, Optimal, 135.610582113266
./solvers/scip-nlw/JuniperLibSm/waternd2.stdout:DATA, waternd2.jl, 233, 72, 0, 250, Min, 1.1403135756556496e6, NaN, UserLimit, 3736.6593601703644
./solvers/scip-nlw/JuniperLibSm/RSyn0820M02H.stdout:DATA, RSyn0820M02H.jl, 979, 208, 0, 1501, Max, 1092.0920617880838, NaN, UserLimit, 2.9469799995422363
./solvers/scip-nlw/JuniperLibSm/SLay10M.stdout:DATA, SLay10M.jl, 291, 180, 0, 406, Min, 129579.8837535092, NaN, Optimal, 6.752642869949341
./solvers/scip-nlw/JuniperLibSm/edgecross14-176.stdout:DATA, edgecross14-176.jl, 183, 182, 0, 1457, Min, 5875.0, NaN, UserLimit, 3752.4306361675262
./solvers/scip-nlw/JuniperLibSm/ghg_2veh.stdout:DATA, ghg_2veh.jl, 58, 18, 0, 63, Min, 7.770904541901468, NaN, UserLimit, 3783.1266372203827
./solvers/scip-nlw/JuniperLibSm/graphpart_3pm-0344-0344.stdout:DATA, graphpart_3pm-0344-0344.jl, 145, 144, 0, 49, Min, -48.0, NaN, Optimal, 1220.1684658527374
./solvers/scip-nlw/JuniperLibSm/graphpart_3pm-0444-0444.stdout:DATA, graphpart_3pm-0444-0444.jl, 193, 192, 0, 65, Min, -65.0, NaN, UserLimit, 3891.801898956299
./solvers/scip-nlw/JuniperLibSm/sfacloc1_4_80.stdout:DATA, sfacloc1_4_80.jl, 356, 62, 0, 2235, Min, 8.148289050708676, NaN, UserLimit, 3857.0202898979187
./solvers/scip-nlw/JuniperLibSm/squfl020-150.stdout:DATA, squfl020-150.jl, 3021, 20, 0, 3151, Min, 1197.9725559799863, NaN, UserLimit, 3613.684783935547
./solvers/scip-nlw/JuniperLibSm/squfl020-040.stdout:DATA, squfl020-040.jl, 821, 20, 0, 841, Min, 209.25489000114612, NaN, Optimal, 463.54592084884644
./solvers/scip-nlw/JuniperLibSm/multiplants_mtg1c.stdout:DATA, multiplants_mtg1c.jl, 245, 120, 0, 319, Max, 661.1609175090728, NaN, UserLimit, 3963.9006650447845
./solvers/scip-nlw/JuniperLibSm/feedtray.stdout:DATA, feedtray.jl, 98, 7, 0, 92, Min, NaN, NaN, UserLimit, 3757.535562992096
./solvers/scip-nlw/JuniperLibSm/crudeoil_pooling_dt4.stdout:DATA, crudeoil_pooling_dt4.jl, 5063, 1326, 0, 7699, Max, 13256.799999982724, NaN, UserLimit, 3653.5013580322266
./solvers/scip-nlw/JuniperLibSm/nuclear14a.stdout:DATA, nuclear14a.jl, 993, 600, 0, 634, Min, NaN, NaN, UserLimit, 3623.0610671043396
./solvers/scip-nlw/JuniperLibSm/edgecross14-058.stdout:DATA, edgecross14-058.jl, 183, 182, 0, 1457, Min, 353.0, NaN, Optimal, 447.82139110565186
./solvers/scip-nlw/JuniperLibSm/synheat.stdout:DATA, synheat.jl, 57, 12, 0, 65, Min, 154997.3348657636, NaN, UserLimit, 4275.306411027908
./solvers/scip-nlw/JuniperLibSm/nuclear25.stdout:DATA, nuclear25.jl, 1679, 625, 0, 1304, Min, -1.1112576953301636, NaN, UserLimit, 3795.0515038967133
./solvers/scip-nlw/JuniperLibSm/heatexch_spec2.stdout:DATA, heatexch_spec2.jl, 77, 16, 0, 91, Min, NaN, NaN, UserLimit, 3619.1495048999786
./solvers/scip-nlw/JuniperLibSm/watercontamination0303r.stdout:DATA, watercontamination0303r.jl, 385, 14, 0, 557, Min, 800.0530069230416, NaN, UserLimit, 3608.778111934662
./solvers/scip-nlw/JuniperLibSm/sfacloc2_3_80.stdout:DATA, sfacloc2_3_80.jl, 324, 107, 0, 2269, Min, 11.05851805953333, NaN, Optimal, 44.30683398246765
./solvers/scip-nlw/JuniperLibSm/genpooling_meyer15.stdout:DATA, genpooling_meyer15.jl, 735, 352, 0, 769, Min, 1.0534427525722568e6, NaN, UserLimit, 3807.7665450572968
./solvers/scip-nlw/JuniperLibSm/sfacloc1_2_90.stdout:DATA, sfacloc1_2_90.jl, 200, 30, 0, 349, Min, 17.905039594456408, NaN, UserLimit, 3988.475170850754
./solvers/scip-nlw/JuniperLibSm/squfl020-050.stdout:DATA, squfl020-050.jl, 1021, 20, 0, 1051, Min, 240.85965975369388, NaN, UserLimit, 3638.3540880680084
./solvers/scip-nlw/JuniperLibSm/eg_disc_s.stdout:DATA, eg_disc_s.jl, 8, 0, 4, 28, Min, NaN, NaN, UserLimit, 3638.274931907654
./solvers/scip-nlw/JuniperLibSm/edgecross20-040.stdout:DATA, edgecross20-040.jl, 381, 380, 0, 4561, Min, 57.0, NaN, Optimal, 822.7167830467224
./solvers/scip-nlw/JuniperLibSm/sfacloc1_3_80.stdout:DATA, sfacloc1_3_80.jl, 294, 62, 0, 2162, Min, 8.53274261518596, NaN, UserLimit, 3901.809191942215
./solvers/scip-nlw/JuniperLibSm/gasprod_sarawak16.stdout:DATA, gasprod_sarawak16.jl, 1527, 38, 0, 2253, Min, -32237.065843346278, NaN, UserLimit, 3836.6683309078217
./solvers/scip-nlw/JuniperLibSm/routingdelay_proj.stdout:DATA, routingdelay_proj.jl, 1124, 396, 0, 2978, Min, NaN, NaN, UserLimit, 3675.8129370212555
./solvers/scip-nlw/JuniperLibSm/sfacloc2_4_90.stdout:DATA, sfacloc2_4_90.jl, 369, 90, 0, 600, Min, 13.411503349266663, NaN, Optimal, 18.629415035247803
./solvers/scip-nlw/JuniperLibSm/graphpart_2g-0099-9211.stdout:DATA, graphpart_2g-0099-9211.jl, 244, 243, 0, 82, Min, -4.884799e6, NaN, UserLimit, 3658.023562192917
./solvers/scip-nlw/JuniperLibSm/sssd15-06.stdout:DATA, sssd15-06.jl, 133, 108, 0, 64, Min, 539713.8944020112, NaN, UserLimit, 3950.9357450008392
./solvers/scip-nlw/JuniperLibSm/squfl040-080.stdout:DATA, squfl040-080.jl, 3241, 40, 0, 3281, Min, 374.43901374871996, NaN, UserLimit, 3620.0226809978485
./solvers/scip-nlw/JuniperLibSm/transswitch0030r.stdout:DATA, transswitch0030r.jl, 278, 41, 0, 392, Min, 576.8933822832332, NaN, UserLimit, 3669.35107088089
./solvers/scip-nlw/JuniperLibSm/supplychainp1_022020.stdout:DATA, supplychainp1_022020.jl, 2941, 460, 0, 5301, Min, 1.7769771152717157e6, NaN, UserLimit, 3763.934396982193
./solvers/scip-nlw/JuniperLibSm/ndcc15.stdout:DATA, ndcc15.jl, 681, 40, 0, 307, Min, 98.516987487, NaN, UserLimit, 3732.5809071063995
./solvers/scip-nlw/JuniperLibSm/nuclearvb.stdout:DATA, nuclearvb.jl, 352, 168, 0, 318, Min, -1.0200759840155336, NaN, UserLimit, 4253.116325139999
./solvers/scip-nlw/JuniperLibSm/SLay10H.stdout:DATA, SLay10H.jl, 1011, 180, 0, 1306, Min, 129579.88158851027, NaN, Optimal, 70.60066604614258
./solvers/scip-nlw/JuniperLibSm/space25a.stdout:DATA, space25a.jl, 384, 240, 0, 202, Min, NaN, NaN, UserLimit, 3613.4762139320374
./solvers/scip-nlw/JuniperLibSm/portfol_classical050_1.stdout:DATA, portfol_classical050_1.jl, 151, 50, 0, 104, Min, -0.09476032481020831, NaN, Optimal, 7.497302055358887
./solvers/scip-nlw/JuniperLibSm/gams02.stdout:DATA, gams02.jl, 12689, 96, 0, 14609, Min, NaN, NaN, UserLimit, 3619.979001045227
./solvers/scip-nlw/JuniperLibSm/wastepaper5.stdout:DATA, wastepaper5.jl, 105, 65, 0, 47, Min, 0.0009394754135475604, NaN, UserLimit, 4365.708009958267
./solvers/scip-nlw/JuniperLibSm/sfacloc1_4_90.stdout:DATA, sfacloc1_4_90.jl, 324, 30, 0, 495, Min, 10.522150011020317, NaN, UserLimit, 3948.3723759651184
./solvers/scip-nlw/JuniperLibSm/faclay20h.stdout:DATA, faclay20h.jl, 191, 190, 0, 2281, Min, 16113.0, NaN, UserLimit, 3655.594671010971
./solvers/scip-nlw/JuniperLibSm/Syn30M04H.stdout:DATA, Syn30M04H.jl, 1153, 240, 0, 2161, Max, 865.7245815888709, NaN, Optimal, 4.926007986068726
